Last,First,Filename,Day,Type,Convention,Source,URL
Foster,David,dnc.foster.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-david-foster-former-employee-at-a-company-controlled-by-romneys-bain-capital-168712346.html
DeGette,Diana,dnc.degette.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-diana-degette-member-of-the-us-house-of-representatives-colorado-168712206.html
Shinseki,Eric,dnc.shinseki.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-eric-shinseki-secretary-of-veterans-affairs-168712486.html
King,Bob,dnc.kingbob.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-bob-king-president-of-the-international-union-united-automobile-aerospace-and-agricultural-implement-workers-of-america-uaw-168712446.html
Meagher,Ed,dnc.meagher.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-ed-meagher-168712386.html
Chu,Judy,dnc.chu.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-judy-chu-member-of-the-us-house-of-representatives-california-168712546.html
Veliz,Benita,dnc.veliz.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-benita-veliz-dream-act-activist-168712366.html
Harris,Kamala,dnc.harris.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-kamala-d-harris-attorney-general-of-california-168712276.html
VanHollen,Chris,dnc.vanhollen.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-chris-van-hollen-former-chair-of-the-democratic-congressional-campaign-committee-member-of-the-us-house-of-representatives-maryland-168712376.html
Warren,Elizabeth,dnc.warren.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-elizabeth-warren-candidate-for-us-senate-massachusetts-168712326.html
Hickenlooper,John,dnc.hickenlooper.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-john-hickenlooper-governor-of-colorado-168712576.html
Markell,Jack,dnc.markell.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-jack-markell-governor-of-delaware-168712516.html
